,GOROD_RU,GOROD_EN,REGION1_RU,REGION1_EN,REGION2_RU,REGION2_EN,COUNTRY,ZIP_CODE,POPULATION_GROUP1,POPULATION_GROUP2,POPULATION_GROUP3
3257,Новогречановка,Novogrechanovka,Тайыншинский РУПС,Taiynsha district,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),151032,Село_не_адм_центр,Village,Village
3258,Манкент дом отдыха,Mankent Dom Otdykha,Сайрамский РУПС,Sayram district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160811,Село_не_адм_центр,Village,Village
3259,Георгиевка,Georgievka,Жарминский РУПС,Zharma district,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),070602,Село_адм_центр,Village,Village
3260,Майкан,Maikan,Алакольский район,Alakol district,Алматинская область,Almaty region,Казахстан (KZ),040231,Село_не_адм_центр,Village,Village
3261,Талдыкорган,Taldykorgan,Алматинский ОФ,Almaty region,Алматинская область,Almaty region,Казахстан (KZ),040012,Город_уровня_2,Medium_city,Small_city
3262,Текели,Tekeli,Текелийский РУПС,Tekeli district,Алматинская область,Almaty region,Казахстан (KZ),041703,Город_уровня_3,Small_city,Small_city
3263,Шахтинск,Shakhtinsk,Шахтинский ГУПС,Shakhtinsky region,Карагандинская область,Karagandy,Казахстан (KZ),101603,Город_уровня_3,Small_city,Small_city
3264,Биртал,Birtal,Есильский РУПС,Esil district,Акмолинская область,Akmola,Казахстан (KZ),020902,Село_не_адм_центр,Village,Village
3265,Кайракты,Kairakty,Жаксынский РУПС,Zhaksy district,Акмолинская область,Akmola,Казахстан (KZ),021008,Село_не_адм_центр,Village,Village
3266,Семипалатинск,Semipalatinsk,Семипалатинский РУПС,Semipalatinsk district,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),071415,Город_уровня_3,Small_city,Small_city
3267,Мечетное,Mechetnoe,Камыстинский РУПС,Kamysty district,Костанайская область,Kostanay,Казахстан (KZ),110811,Село_не_адм_центр,Village,Village
3268,Оксановка,Oksanovka,Астраханский РУПС,Astrakhan district,Акмолинская область,Akmola,Казахстан (KZ),020318,Село_не_адм_центр,Village,Village
3269,Уральск,Uralsk,ЗКО ОФ,ZKO region,Западно-Казахстанская область,West Kazakhstan,Казахстан (KZ),090013,Город_уровня_2,Medium_city,Small_city
3270,Экибастуз,Ekibastuz,Экибастузский ГУПС,Ekibastuzsky region,Павлодарская область,Pavlodar,Казахстан (KZ),141209,Город_уровня_3,Small_city,Small_city
3271,Майское,Maiskoe,Карасуский РУПС,Karasu district,Костанайская область,Kostanay,Казахстан (KZ),111012,Село_не_адм_центр,Village,Village
3272,Степное,Stepnoe,Астраханский РУПС,Astrakhan district,Акмолинская область,Akmola,Казахстан (KZ),020324,Село_не_адм_центр,Village,Village
3273,Целинное,Tselinnoe,Айыртауский РУПС,Aiyrtau district,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),150122,Село_не_адм_центр,Village,Village
3274,Петропавловск,Petropavlovsk,СКО ОФ,SKO region,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),150001,Город_уровня_2,Medium_city,Small_city
3275,Ейское,Eyskoe,Есильский РУПС,Esil district,Акмолинская область,Akmola,Казахстан (KZ),020905,Село_не_адм_центр,Village,Village
3276,Караганда,Karaganda,Карагандинский ОФ,Karagandy region,Карагандинская область,Karagandy,Казахстан (KZ),100009,Город_уровня_2,Medium_city,Small_city
3277,Казгородок,Kazgorodok,Жаксынский РУПС,Zhaksy district,Акмолинская область,Akmola,Казахстан (KZ),021007,Село_не_адм_центр,Village,Village
3278,Усть-Каменогорск,Ust-Kamenogorsk,ВКО ОФ,VKO region,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),070002,Город_уровня_2,Medium_city,Small_city
